PWY	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
PWY-6963	21	20	9	24	22	25	25
PWY-5189	6	6	0	0	0	5	0
PWY0-661	0	2	0	0	0	0	0
PWY-101	3	1	0	0	2	1	4
PWY-6316	0	0	0	0	1	0	0
PWY-31	0	0	0	1	0	1	1
PWY-5074	0	1	3	0	0	0	0
GLUTAMATE-DEG1-PWY	0	0	0	2	0	0	0
PWY-6893	0	0	1	0	2	2	0
PWY-5382	0	0	0	1	0	2	1
SHIKIMATEDEG-PWY	0	1	1	1	0	0	5
PWY-5928	0	0	0	0	0	0	1
PWY-5750	9	14	0	0	14	11	14
PWY0-1433	1	0	1	0	0	0	0
PWY2OL-4	0	0	0	1	0	0	0
AMMOXID-PWY	0	0	0	1	0	0	0
PWY-5794	0	0	3	0	0	0	0
PWY-5704	0	6	7	3	0	1	2
PWY-4981	3	4	0	0	2	4	10
TRNA-CHARGING-PWY	78	62	33	68	85	99	100
ARGININE-SYN4-PWY	8	5	2	8	6	0	16
PWY-6125	23	15	13	11	9	25	32
DARABITOLUTIL-PWY	0	2	0	0	0	0	0
PANTO-PWY	3	9	3	8	8	9	12
CARNMET-PWY	1	2	1	1	1	3	3
PWY-5207	1	0	3	0	0	2	1
GLUT-REDOX-PWY	2	0	0	0	0	3	2
PWY-6079	0	0	0	0	1	0	0
PWY-6518	2	2	0	0	0	2	1
ETHYL-PWY	5	0	0	0	0	0	0
ARG-PRO-PWY	0	0	0	0	0	3	5
PWY-6861	0	0	1	0	0	0	0
CITRULLINE-DEG-PWY	1	4	0	3	2	2	6
PWY0-1298	9	19	0	0	21	17	0
PWY-5329	0	0	0	0	0	0	1
PWY-3982	0	3	1	5	0	6	3
XYLCAT-PWY	1	2	0	6	9	4	4
PWY-6945	6	10	5	2	7	10	5
PWY0-1477	0	0	1	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	0	0	8	9	7	8
PWY-5740	1	0	0	0	0	0	0
SALVPURINE2-PWY	1	2	0	1	3	0	1
PWY0-541	1	2	1	0	3	0	2
PWY0-163	5	5	4	5	9	3	8
PWY-5883	0	0	0	0	0	0	1
