PWY	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
GLUTAMINDEG-PWY	14	12	8	12	4	13	11
PWY-5497	19	21	7	21	25	43	28
PWY-6756	0	0	0	2	0	2	1
ASPARTATESYN-PWY	0	10	5	0	5	0	0
OXIDATIVEPENT-PWY	0	0	3	0	3	4	0
PWY-5506	0	0	0	1	0	0	0
PWY-5963	0	0	0	0	1	0	0
PWY5F9-12	0	2	0	0	0	0	0
PWY-5418	0	1	0	1	0	0	0
PWY-6530	0	0	0	1	1	1	0
PWY-6788	1	0	0	1	2	0	2
PWY-6497	0	0	0	2	2	0	0
PWY-3781	31	31	16	24	39	67	44
PWY-1341	2	0	0	0	0	0	1
PWY-5133	0	0	0	0	2	0	0
PWY-5710	0	0	0	0	0	1	1
P1-PWY	15	12	11	15	21	20	22
TCA	43	36	31	28	31	41	39
PWY-5670	0	0	0	1	0	0	2
AST-PWY	7	18	3	3	17	14	17
PWY-922	0	7	10	7	0	20	0
THRDLCTCAT-PWY	1	0	0	1	1	0	0
PWY-0	7	18	3	3	17	14	15
P42-PWY	27	15	0	0	16	36	27
PWY-6183	0	1	0	0	0	0	0
PWY-6583	0	52	30	0	0	0	69
PWY-6902	0	0	0	0	0	2	0
PWY-6012	1	1	0	1	1	0	0
PWY0-1021	3	5	3	4	9	5	13
NONOXIPENT-PWY	13	19	3	11	15	19	15
PWY-5482	7	10	5	5	2	6	7
PWY-6299	1	0	0	0	3	2	1
PWY3O-440	0	0	0	0	1	0	0
PWY-5917	0	1	0	0	0	0	0
PWY-2201	17	15	7	0	0	41	29
RIBOSYN2-PWY	4	10	8	3	17	25	10
PWY-4121	0	0	0	0	1	0	0
PWY-6507	0	0	0	0	1	0	2
PWY-5785	2	1	0	1	3	1	1
PWY-5340	0	4	5	3	4	4	8
PWY1F-FLAVSYN	0	0	0	0	1	0	0
PWY-6405	3	1	2	2	1	2	5
ASPARAGINESYN-PWY	0	1	0	1	4	2	5
PWY-6419	0	1	1	1	0	0	5
ECASYN-PWY	0	0	0	5	6	6	4
PWY0-1296	0	3	0	0	3	6	2
PWY-481	2	0	0	1	0	1	3
P283-PWY	0	0	0	1	0	2	1
PWY-5535	2	4	0	4	6	8	7
GLUTATHIONESYN-PWY	3	0	1	0	1	7	3
GLUTSYNIII-PWY	18	14	9	13	6	12	13
PWY-6896	0	1	1	0	2	2	0
PWY-5723	0	0	0	0	0	35	0
