RXN	1_upper_euphotic
HISTOLDEHYD-RXN	3
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1
RXN-2861	1
N-ACETYLTRANSFER-RXN	1
PROTOHEMEFERROCHELAT-RXN	4
RXN1G-262	1
CATAL-RXN	3
GLUCONOLACT-RXN	2
RXN-9	1
ACONITATEDEHYDR-RXN	2
RXN0-3561	1
2PGADEHYDRAT-RXN	2
MANNONDEHYDRAT-RXN	1
AGMATIN-RXN	2
HISTIDPHOS-RXN	1
PYRNUTRANSHYDROGEN-RXN	5
RXN66-3	7
RIBULP3EPIM-RXN	2
RXN-9536	1
GLUCOSE-1-DEHYDROGENASE-RXN	2
RXN-12141	5
QUINOPRIBOTRANS-RXN	1
SUPEROX-DISMUT-RXN	1
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	1
H2PTERIDINEPYROPHOSPHOKIN-RXN	2
FGAMSYN-RXN	4
ALCOHOL-DEHYDROG-RXN	7
RXN0-5260	2
DARAB5PISOM-RXN	2
5.3.1.23-RXN	3
GLYC3PDEHYDROGBIOSYN-RXN	3
RXN1G-408	1
RXN-12093	2
ATPSYN-RXN	22
RXN1G-460	8
DTDPDEHYDRHAMEPIM-RXN	3
ADDALT-RXN	1
GLUTAMIN-RXN	14
3-OXOACYL-ACP-REDUCT-RXN	8
RXN1G-613	1
RXN0-6274	2
FUMHYDR-RXN	7
1.1.1.262-RXN	1
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	5
MALIC-NADP-RXN	5
2.7.1.90-RXN	1
1.7.2.2-RXN	2
RXN-10	3
ARGSUCCINSYN-RXN	3
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	5
CHD-RXN	1
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	2
RXN1G-157	1
RXN-7835	1
DIHYDROOROT-RXN	4
ARGININE--TRNA-LIGASE-RXN	3
RXN0-5393	16
R601-RXN	1
UROCANATE-HYDRATASE-RXN	2
3.1.3.56-RXN	1
GPPSYN-RXN	1
RXN-9528	1
RXN0-2142	1
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	1
ETHYL-RXN	1
CYSTATHIONINE-BETA-LYASE-RXN	1
RXN-11680	4
RXN-12104	1
AIRS-RXN	1
PHENYLALANINE-DECARBOXYLASE-RXN	1
CYTOCHROME-C-OXIDASE-RXN	10
TYROSINE--TRNA-LIGASE-RXN	3
UREA-CARBOXYLASE-RXN	1
RXN-12142	5
DHHB-METHYLTRANSFER-RXN	2
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	1
PROPIONYL-COA-CARBOXY-RXN	3
THIOESTER-RXN	1
GSHTRAN-RXN	8
RXN-9518	1
ORNCARBAMTRANSFER-RXN	1
RXN-9633	1
